sdg,abstract,id,Aurora SDG 1,Aurora SDG 2,Aurora SDG 3,Aurora SDG 4,Aurora SDG 5,Aurora SDG 6,Aurora SDG 7,Aurora SDG 8,Aurora SDG 9,Aurora SDG 10,Aurora SDG 11,Aurora SDG 12,Aurora SDG 13,Aurora SDG 14,Aurora SDG 15,Aurora SDG 16,Aurora SDG 17,sdg_desc_short,sdg_desc_long
1,"“Investors are good, if they follow the rules” – power relations and local perceptions in the case of two European forestry companies in Tanzania
The rapidly increasing interest of foreign investors in land in the global South, also termed land grabbing, has been widely discussed as potentially supportive, but often rather harmful for local populations. Combining a critical livelihoods perspective with access theory and a bargaining model, this study scrutinizes local people’s perceptions of the land investments, power relations during land negotiations and intra-community differences. By analysing two European forestry companies in Tanzania, we have chosen a sector and a country with presumably more positive outcomes for local populations. The deals resulted in not only labour opportu- nities and infrastructural improvements, which are mainly perceived as positive, but also cases of violated land rights, inadequate compensation and decreased food security. Hence, even under favourable preconditions, the consequences for local people are ambivalent. With this study, we contribute to a differentiated analysis of the contested role of large-scale land deals in contemporary rural development.",oai:www.zora.uzh.ch:102805,0.849141538143158,0.8796160221099854,0.0130561413243412,0.0018490665825083,0.0028822715394198,0.0162881463766098,0.0021753262262791,0.936825156211853,0.1865292489528656,0.1746523678302765,0.4752107858657837,0.4059319198131561,0.0036775025073438,0.0076030013151466,0.973724603652954,0.705896258354187,0.7260907292366028,No Poverty,Aims to end poverty in all its forms everywhere.
1,"Negotiating access to land in Nepal
In a rural agrarian economy like that of Nepal, land has traditionally been a primary source of livelihood and security, as well as a symbol of status. Thousands of poor farmers are completely dependent on land for their livelihoods, yet not all of them have access to or control over this fundamental resource. Negotiation for access to land has been a lengthy and complicated process. It remains so in the changed political context of Nepal, where increasing numbers of emerging actors need to be considered, often with conflicting claims and counterclaims. In this context the traditional ways of thinking need to be revised, both with regard to the negotiating process and the mechanisms of land reform, to accommodate the country’s recent and ongoing massive socio-economic transformation.",oai:www.zora.uzh.ch:88401,0.9949021339416504,0.979719340801239,0.0181387793272733,0.0022713998332619,0.0079072127118706,0.0107783786952495,0.002378576202318,0.7854416370391846,0.1786508411169052,0.2043867111206054,0.4243540167808532,0.4993232190608978,0.0813750252127647,0.0028841728344559,0.7402703762054443,0.4232771396636963,0.3921799659729004,No Poverty,Aims to end poverty in all its forms everywhere.
1,"Saving more in groups: field experimental evidence from Chile
We test the impact of a peer group program on savings in a sample of microcredit clients. We conduct two randomized trials among these 2687 microcredit clients. The first finds that a Savings Group Treatment, which combines public goal setting, monitoring in the group and non-financial rewards, increases savings in a new savings account significantly. The number of deposits grows 3.7-fold and the average balance almost doubles. In contrast, a more classical measure, a substantially increased interest rate, has no effect for most participants and raises the savings balance only for the very top of the distribution. A second experiment, conducted a year later, tests an alternative delivery mechanism and shows that effects of similar size can be achieved through feedback text messages, without meetings, rewards, or peer pressure. Given that participants are borrowing at 90% APR, we discuss how and when saving more could be harmful or beneficial.",oai:www.zora.uzh.ch:166699,0.0038259809371083,0.0082295406609773,0.917519986629486,0.4283808171749115,0.0026355339214205,0.0186003800481557,0.2246342450380325,0.9757920503616332,0.3986759185791015,0.4813375174999237,0.0276516489684581,0.0493421107530593,0.0038879411295056,0.0022944305092096,0.0054167532362043,0.4373155534267425,0.8669288158416748,No Poverty,Aims to end poverty in all its forms everywhere.
1,"Saving more in groups: field experimental evidence from Chile
We test the impact of a peer group savings program on precautionary savings, through two randomized field experiments among 2,687 microcredit clients. The first experiment finds that the Peer Group Treatment, which combines public goal setting, monitoring in the group, and non-financial rewards, increases savings in a new savings account significantly. The number of deposits grows 3.7-fold, and the average savings balance almost doubles. In contrast, a more classical measure, a substantially increased interest rate, has no effect for most participants and raises the savings balance only for the very top of the distribution. A second experiment, conducted a year later, tests an alternative delivery mechanism and shows that effects of similar size can be achieved through feedback text messages, without meetings, rewards, or peer pressure.",oai:www.zora.uzh.ch:134392,0.0038156863301992,0.0088809533044695,0.8572266101837158,0.5009674429893494,0.0025854252744466,0.0168735645711421,0.3381385505199432,0.980411171913147,0.2974497079849243,0.5359432101249695,0.0378990545868873,0.0692089349031448,0.0040938593447208,0.0023933663032948,0.0053477282635867,0.1740404367446899,0.8489505052566528,No Poverty,Aims to end poverty in all its forms everywhere.
2,"The evolution of daily food sharing: A Bayesian phylogenetic analysis
Some human subsistence economies are characterized by extensive daily food sharing networks, which may buffer the risk of shortfalls and facilitate cooperative production and divisions of labor among households. Comparative studies of human food sharing can assess the generalizability of this theory across time, space, and diverse lifeways. Here we test several predictions about daily sharing norms–which presumably reflect realized cooperative behavior–in a globally representative sample of nonindustrial societies (the Standard Cross-Cultural Sample), while controlling for multiple sources of autocorrelation among societies using Bayesian multilevel models. Consistent with a risk-buffering function, we find that sharing is less likely in societies with alternative means of smoothing production and consumption such as animal husbandry, food storage, and external trade. Further, food sharing was tightly linked to labor sharing, indicating gains to cooperative production and perhaps divisions of labor. We found a small phylogenetic signal for food sharing (captured by a supertree of human populations based on genetic and linguistic data) that was mediated by food storage and social stratification. Food sharing norms reliably emerge as part of cooperative economies across time and space but are culled by innovations that facilitate self-reliant production.",oai:www.zora.uzh.ch:170833,0.1619848608970642,0.9728565216064452,0.0142674408853054,0.0370677486062049,0.0021273477468639,0.0020796719472855,0.0021347173023968,0.9803974628448486,0.8781377077102661,0.5346062779426575,0.1246038749814033,0.934779167175293,0.0046026394702494,0.0087819136679172,0.0368022099137306,0.0029067639261484,0.9822694659233092,Zero Hunger,"Aims to end hunger, achieve food security and improved nutrition, and promote sustainable agriculture."
2,"A chromosome-scale genome assembly reveals a highly dynamic effector repertoire of wheat powdery mildew
Blumeria graminis f. sp. tritici (B.g. tritici) is the causal agent of the wheat powdery mildew disease. The highly fragmented B.g. tritici genome available so far has prevented a systematic analysis of effector genes that are known to be involved in host adaptation. To study the diversity and evolution of effector genes we produced a chromosome‐scale assembly of the B.g. tritici genome.  The genome assembly and annotation was achieved by combining long‐read sequencing with high‐density genetic mapping, bacterial artificial chromosome fingerprinting and transcriptomics. We found that the 166.6 Mb B.g. tritici genome encodes 844 candidate effector genes, over 40% more than previously reported. Candidate effector genes have characteristic local genomic organization such as gene clustering and enrichment for recombination‐active regions and certain transposable element families. A large group of 412 candidate effector genes shows high plasticity in terms of copy number variation in a global set of 36 isolates and of transcription levels.  Our data suggest that copy number variation and transcriptional flexibility are the main drivers for adaptation in B.g. tritici. The high repeat content may play a role in providing a genomic environment that allows rapid evolution of effector genes with selection as the driving force.",oai:www.zora.uzh.ch:160633,0.0039054520893841,0.910661518573761,0.1897193938493728,0.0016483236104249,0.0019041624618694,0.582697868347168,0.0124387005344033,0.0097609655931591,0.0178998429328203,0.0167630221694707,0.0168701875954866,0.8426403999328613,0.0040913638658821,0.0764701440930366,0.9357577562332152,0.0030137114226818,0.0100781051442027,Zero Hunger,"Aims to end hunger, achieve food security and improved nutrition, and promote sustainable agriculture."
2,"Field grown transgenic Pm3e wheat lines show powdery mildew resistance and no fitness costs associated with high transgene expression
Pm3 from wheat encodes a nucleotide-binding leucine-rich repeat type of receptor and confers resistance to powdery mildew caused by the fungal pathogen Blumeria graminis f.sp. tritici (Bgt). Each of the 17 functional Pm3 alleles identified so far confers resistance to a distinct spectrum of Bgt isolates. Variant Pm3e has been found in wheat donor line W150 and differs only by two amino acids from the non-functional variant Pm3CS. In order to evaluate the capability of Pm3e to provide powdery mildew field resistance, we generated transgenic Pm3e lines by biolistic transformation of the powdery mildew susceptible spring wheat cultivar Bobwhite. Field trials conducted during four field seasons in Switzerland showed significant and strong powdery mildew resistance of the Pm3e transgenic lines, whereas the corresponding biological sister lines, not containing the transgene, were severely powdery mildew infected. Thus Pm3e alone is responsible for the strong resistance phenotype. The field grown transgenic lines showed high transgene expression and Pm3e protein accumulation with no fitness costs on plant development and yield associated with Pm3e abundance. Line E#1 as well as sister line E#1 showed delayed flowering due to somaclonal variation. The study shows the capability of Pm3e in providing strong powdery mildew field resistance, making its use in wheat breeding programs very promising.",oai:www.zora.uzh.ch:160634,0.0039387955330312,0.917519748210907,0.006397986318916,0.0016303895972669,0.0018063929164782,0.2859750986099243,0.0032181527931243,0.0053580990061163,0.150112971663475,0.0088191702961921,0.0126686533913016,0.9000473022460938,0.0049346992745995,0.0416327379643917,0.6337661147117615,0.0031195029150694,0.298166275024414,Zero Hunger,"Aims to end hunger, achieve food security and improved nutrition, and promote sustainable agriculture."
2,"Genebank genomics highlights the diversity of a global barley collection
Genebanks hold comprehensive collections of cultivars, landraces and crop wild relatives of all major food crops, but their detailed characterization has so far been limited to sparse core sets. The analysis of genome-wide genotyping-by-sequencing data for almost all barley accessions of the German ex situ genebank provides insights into the global population structure of domesticated barley and points out redundancies and coverage gaps in one of the world’s major genebanks. Our large sample size and dense marker data afford great power for genome-wide association scans. We detect known and novel loci underlying morphological traits differentiating barley genepools, find evidence for convergent selection for barbless awns in barley and rice and show that a major-effect resistance locus conferring resistance to bymovirus infection has been favored by traditional farmers. This study outlines future directions for genomics-assisted genebank management and the utilization of germplasm collections for linking natural variation to human selection during crop evolution.",oai:www.zora.uzh.ch:160632,0.0037923275958746,0.988526463508606,0.0815920457243919,0.001879699062556,0.0019223301205784,0.1229096353054046,0.0019507154356688,0.0055893184617161,0.0190516132861375,0.0238305088132619,0.0189281068742275,0.962753176689148,0.0044079679064452,0.0148147279396653,0.8776511549949646,0.0031174006871879,0.3629988729953766,Zero Hunger,"Aims to end hunger, achieve food security and improved nutrition, and promote sustainable agriculture."
2,"Improvement of soil structure through organic crop management, conservation tillage and grass-clover ley
Conventional tillage is a widespread soil management practice that controls weeds and promotes nutrient mineralization at the expense of a degraded soil structure and soil carbon (C) loss. Although C dynamics and soil structure are widely recognized as pivotal to essential environmental and crop-related agroecosystem processes such as belowground C storage and crop root establishment, there is still a need to evaluate cropping practices most favorable for soil structure. For example, the effects on soil structure by continuous intensive tillage after a ley period remains unclear. To address these issues, we measured mean weight diameter, total C and total nitrogen (N) in whole soil and water-stable aggregate fractions after a 4-year arable crop rotation on a Cambisol where organic and conventional management was combined with intensive tillage and different types of conservation tillage. Measurements were repeated following a 2-year grass-clover ley period. Results showed that 4 years of organic management (including the application of cattle manure slurry) combined with reduced tillage significantly improved soil structure through increasing the proportion of large macroaggregates and hence the aggregate mean weight diameter (MWD) in the 0-6 cm soil layer. Although an increase in MWD after ley was observed in organic intensive tillage and a marginal increase in conventional intensive tillage, a significant increase in total C was observed only for the organic cropping systems, which also showed a high C stratification between 0-6 cm and 6-20 cm depth. Thus, a ley period enhances soil structure after continuous cropping under intensive tillage and when organic management is combined with reduced tillage. In conclusion, soil structure is best maintained when combining organic management with reduced tillage due to additive effects.",oai:www.zora.uzh.ch:168382,0.0042392797768116,0.9803566336631776,0.0122473891824483,0.0019726566970348,0.0024074350949376,0.9187111258506776,0.0021651107817888,0.0058820354752242,0.0101238153874874,0.0035711042582988,0.0296306740492582,0.7660803198814392,0.0038287499919533,0.0371450819075107,0.9566746950149536,0.0029181824065744,0.0090142413973808,Zero Hunger,"Aims to end hunger, achieve food security and improved nutrition, and promote sustainable agriculture."
2,"Cropping practices manipulate abundance patterns of root and soil microbiome members paving the way to smart farming
Background Harnessing beneficial microbes presents a promising strategy to optimize plant growth and agricultural sustainability. Little is known to which extent and how specifically soil and plant microbiomes can be manipulated through different cropping practices. Here, we investigated soil and wheat root microbial communities in a cropping system experiment consisting of conventional and organic managements, both with different tillage intensities.
Results While microbial richness was marginally affected, we found pronounced cropping effects on community composition, which were specific for the respective microbiomes. Soil bacterial communities were primarily structured by tillage, whereas soil fungal communities responded mainly to management type with additional effects by tillage. In roots, management type was also the driving factor for bacteria but not for fungi, which were generally determined by changes in tillage intensity. To quantify an “effect size” for microbiota manipulation, we found that about 10% of variation in microbial communities was explained by the tested cropping practices. Cropping sensitive microbes were taxonomically diverse, and they responded in guilds of taxa to the specific practices. These microbes also included frequent community members or members co-occurring with many other microbes in the community, suggesting that cropping practices may allow manipulation of influential community members.
Conclusions Understanding the abundance patterns of cropping sensitive microbes presents the basis towards developing microbiota management strategies for smart farming. For future targeted microbiota management—e.g., to foster certain microbes with specific agricultural practices—a next step will be to identify the functional traits of the cropping sensitive microbes.",oai:www.zora.uzh.ch:168385,0.004235082771629,0.9918255805969238,0.0326859466731548,0.0017427564598619,0.0020112481433898,0.1024849936366081,0.0022147262934595,0.0081809693947434,0.2174162417650222,0.0040291314944624,0.0360450781881809,0.8481078147888184,0.0042636725120246,0.018569067120552,0.9840089082717896,0.0029559542890638,0.5175185203552246,Zero Hunger,"Aims to end hunger, achieve food security and improved nutrition, and promote sustainable agriculture."
