sdg,abstract,id,sdg_desc_short,sdg_desc_long
6,"This reflects the need to reorient investments in the water supply sector by giving priority to the un-served cohort before investing in improving the level of service for those already with an acceptable level of basic services. Moreover, an apparent obstacle to improving water supply services in particular and sustainable development in general is the high population growth that seems to offset any progress made. As seen in figure 9, as of 2011, 92 per cent ofthe urban population had access to improved drinking water sources compared to only 73 per cent of the rural population.",,,
10,"Old Dogs, New Clicks: Digital Inequality in Internet Skills and Uses among Older Adults Research on digital inequality tends to collapse people above a certain age into one “older adults” category, seemingly assuming that this is one homogeneous group when it comes to internet uses. Drawing on national survey data of adults in the United States, this article examines the online skills and behaviour of this group. Findings reveal diversity among older adults in internet skills and uses. Those with higher education and higher income have higher-level Web-use skills. While those of higher socioeconomic status are also more likely to use the internet for diverse types of activities from which they may benefit, once Controlling for skills, these differences are less pronounced.",oai:www.zora.uzh.ch:148144,Reduced Inequalities,Aims to reduce inequality within and among countries.
2,"The PoU reflects the level of undernourishment from the point of energy intake in calories for measuring regular food access, whereas the Prevalence of Severe Food Insecurity (PoSFI), as an experience-based measure, allows for the measurement of the severity of the food insecurity condition at household and individual levels. Therefore, in addition to the PoU, indicators of prevalence of moderate to severe food insecurity (PoMSFI) are used and collected through surveys, as per FIES methodology. According to the latest estimates in 2015-2017,2.1 percent of the total population in the ECA region has been exposed to food insecurity at a severe level (PoSFI). This prevalence in the ECA region is much lower than the world average, which was 9.2 percent during the same period. This coincides with a gradual increase in the PoU (Figure 2). More in-depth studies will be needed to investigate the causes of the recent increase observed.",,,
7,"There is a large potential and need for energy connectivity and for large markets through cross-border infrastructure and energy trade, including oil and gas pipelines and electricity grids, such regional and subregional cooperation is crucial for ensuring reliable, efficient and safe transportation of energy resources, thus increasing energy security. Further improve the investment climate in Asia and the Pacific using public-private partnerships for implementation of cross-border energy infrastructure. Invite all regional and subregional organizations to work collectively on addressing the challenges in the energy sector.",,,
15,"Anthropogenic food resources foster the coexistence of distinct life history strategies: year-round sedentary and migratory brown bears Plastic behavioral adaptation to human activities can result in the enhancement and establishment of distinct behavioral types within a population. Such inter-individual behavioral variations, if unaccounted for, can lead to biases in our understanding of species’ feeding habits, movement pattern, and habitat selection. We tracked the movements of 16 adult brown bears in a small and isolated population in northeast Turkey to i) identify inter-individual behavioral variations associated with the use of a garbage dump and ii) to examine how these variations influenced ranging patterns, movements behavior and habitat selection. We identified two remarkably distinct behavioral types: bears that regularly visited the dump and remained sedentary year-round, and bears that never visited the dump and migrated 165.7 ± 20.1 km (round-trip mean cumulative distance ± SE) prior to hibernation to search for food. We demonstrated that during migratory trips, bears moved more rapidly and were less selective in habitat choice than during the sedentary phase; during the migration phase forest cover was the only important environmental characteristic. Our results thus reinforce the growing evidence that animals’ use of the landscape largely changes according to movement phase. Our study shows that anthropogenic food resources can influence food habits, which can have cascading effects on movement patterns and hence habitat selection, ultimately resulting in the establishment of distinct behavioral types within a population. Identification and consideration of these behavioral types is thus fundamental for the correct implementation of evidence-based conservation strategies at the population level.",oai:www.zora.uzh.ch:124337,Life on Land,"Aims to protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss."
16,"Predictors of remission from PTSD symptoms after sexual and non-sexual trauma in the community: A mediated survival-analytic approach Epidemiological data on the chronicity of posttraumatic stress disorder (PTSD) symptoms in relation to trauma type and underlying pathways are rare. The current study explored how PTSD symptoms change over time across different trauma types and examined mediators of their persistence. A trauma-exposed community sample, whereof approximately one quarter met diagnostic criteria for PTSD, provided retrospective data on the duration of PTSD symptoms. Those who remitted and those who had not at the time of assessment were compared regarding worst trauma, symptom severity, comorbidity, demographic and treatment-seeking variables. Time to remission was estimated using Cox proportional hazard models including candidate predictors of remission. A mediated survival analysis was used to explore indirect pathways that explain trauma-specific differences in remission times. Both the full sample and PTSD subgroup were analyzed separately. Overall, lower socio-economic status, lifetime and childhood sexual trauma, symptom severity, comorbid depression and past treatment were associated with non- and longer remissions. PTSD avoidance symptoms and comorbid depression were found to mediate longer remission times after lifetime or childhood sexual trauma. Our findings provide insight into the mechanisms and complicating factors of remission from PTSD symptoms after trauma, which might have important implications for therapeutic interventions.",oai:www.zora.uzh.ch:149163,Peace and Justice Strong Institutions,"Aims to promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels."
5,"Forced marriage: the marriage of individuals against their will (includes early marriage’). Female genital mutilation/cutting: cutting healthy genital tissue. Other GBV: This category should be used only if any of the above types do not apply. In the context of this bench book, this category includes: domestic violence, exploitation, trafficking in women, forced prostitution, violence perpetrated or condoned by the state, wherever it occurs, sexual slavery, sexual harassment (including sextortion - demands for sex in exchange for job promotion or advancement or higher school marks or grades), trafficking for the purpose of sexual exploitation, forced exposure to pornography, forced pregnancy, forced sterilisation, forced abortion, forced marriage, virginity tests and incest.",,,
16,"Political Communication in a High-Choice Media Environment: A Challenge for Democracy During the last decennia media environments and political communication systems have changed fundamentally. These changes have major ramifications for the political information environments and the extent to which they aid people in becoming informed citizens. Against this background, the purpose of this article is to review research on key changes and trends in political information environments and assess their democratic implications. We will focus on advanced postindustrial democracies and six concerns that are all closely linked to the dissemination and acquisition of political knowledge: (1) declining supply of political information, (2) declining quality of news, (3) increasing media concentration and declining diversity of news, (4) increasing fragmentation and polarization, (5) increasing relativism and (6) increasing inequality in political knowledge.",oai:www.zora.uzh.ch:149430,Peace and Justice Strong Institutions,"Aims to promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels."
15,"Impacts of species richness on productivity in a large-scale subtropical forest experiment Biodiversity experiments have shown that species loss reduces ecosystem functioning in grassland. To test whether this result can be extrapolated to forests, the main contributors to terrestrial primary productivity, requires large-scale experiments. We manipulated tree species richness by planting more than 150,000 trees in plots with 1 to 16 species. Simulating multiple extinction scenarios, we found that richness strongly increased stand-level productivity. After 8 years, 16-species mixtures had accumulated over twice the amount of carbon found in average monocultures and similar amounts as those of two commercial monocultures. Species richness effects were strongly associated with functional and phylogenetic diversity. A shrub addition treatment reduced tree productivity, but this reduction was smaller at high shrub species richness. Our results encourage multispecies afforestation strategies to restore biodiversity and mitigate climate change.",oai:www.zora.uzh.ch:165038,Life on Land,"Aims to protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss."
14,"Because of the Bay Management Area Plan, put in place to create a fallowing period and contain diseases, only 2/3 of the sites (i.e. 64 sites) are active in any given year. If each site was designed to have eight seaweed rafts (38 ropes of kelps, 35 m long and supporting a biomass of 15 kg/m), there would be 512 rafts producing 10 214.40 tonnes fresh weight (FW) of seaweeds. With an average of 0.35% nitrogen content in FW kelp tissues, the harvesting of kelps would equate to the removal of 35.75 tonnes of nitrogen from the ecosystem per year.",,,
